cycle,lvsa,pvsa,blood_flow,result
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4,50,52,1,0
4,52,50,1,0
,,,,
0,75,0,1,2
0,0,75,1,0
,,,,
1,90,100,0,0
,,,,
,,,,
0,90,0,1,0
0,0,90,1,0
0,0,80,1,0
0,80,0,1,0
0,0,76,1,0
0,76,0,1,2
0,70,95,-1,2
0,95,70,-1,0
0,80,70,1,0
0,70,80,1,2
0,0,78,1,0
0,78,0,1,0
0,73,0,1,2
0,0,73,1,1
0,85,0,1,0
0,0,100,1,0
0,100,0,1,2
0,0,50,1,1
0,50,0,1,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,52,0,1,1
0,0,52,1,1
0,75,50,1,2
0,50,75,1,0
,,,,
,,,,
0,95,0,1,2
0,0,95,1,0
0,75,0,1,1
0,0,75,1,1
,,,,
,,,,
0,80,0,1,2
0,0,80,1,0
0,81,0,1,1
0,0,81,1,0
0,83,0,1,1
0,0,83,1,0
,,,,
,,,,
0,90,90,1,2
0,100,0,1,1
0,0,100,1,2
0,99,50,1,1
0,50,99,1,1
0,91,0,1,1
0,0,91,1,1
0,80,0,-1,1
0,0,80,-1,0
0,80,100,1,2
0,100,80,1,1
0,75,40,1,0
0,40,75,1,0
0,80,60,1,1
0,60,80,1,0
0,90,50,1,0
0,50,90,1,0
0,75,100,1,2
0,100,75,1,2
0,95,60,0,2
0,60,95,0,0
0,85,50,1,0
0,50,85,1,2
,,,,
,,,,
0,90,30,1,2
0,30,90,1,2
0,90,60,1,2
0,60,90,1,0
2,90,90,1,0
1,90,90,1,1
0,90,0,0,2
0,0,90,0,0
0,70,90,1,0
0,90,70,1,1
0,0,99,1,1
0,99,0,1,0
0,0,97,1,0
0,97,0,1,1
2,95,99,-1,0
1,99,95,-1,2
0,70,100,1,1
0,100,70,1,0
0,0,90,-1,0
0,90,0,-1,2
1,90,0,1,0
1,0,90,1,1
0,30,95,1,2
0,95,30,1,2
0,0,70,0,0
0,70,0,0,0
,,,,
,,,,
0,66,66,1,1
0,99,25,1,0
0,25,99,1,1
0,50,95,1,0
0,95,50,1,1
0,10,10,-1,2
0,50,99,0,2
0,99,50,0,2
2,90,90,1,1
1,90,90,1,2
0,0,94,1,0
0,94,0,1,1
0,0,97,1,0
0,97,0,1,1
0,95,50,1,2
0,50,95,1,0
0,5,40,1,0
0,40,5,1,1
0,57,0,1,0
0,0,57,1,0
0,35,0,1,0
0,0,35,1,0
0,40,0,1,0
0,0,40,1,0
0,49,0,1,0
0,0,49,1,0
0,50,0,1,0
0,0,50,1,0
0,59,0,1,0
0,0,59,1,0
0,15,0,1,0
0,0,15,1,0
0,20,0,1,0
0,0,20,1,0
,,,,
,,,,
,,,,
,,,,
0,50,0,-1,0
0,0,50,-1,0
0,0,100,-1,0
0,100,0,-1,0
0,0,25,-1,0
0,25,0,-1,0
0,0,40,-1,0
0,40,0,-1,0
0,0,60,-1,1
0,60,0,-1,1
0,99,50,-1,1
0,50,99,-1,1
0,80,50,0,0
0,50,80,0,0
0,59,0,-1,0
0,0,59,-1,0
0,18,21,0,0
0,21,18,0,0
0,47,0,1,0
0,0,47,1,0
0,48,0,1,0
0,0,48,1,0
0,27,0,1,0
0,0,27,1,0
0,0,0,-1,1
3,0,85,-1,0
,,,,
1,0,100,1,1
,,,,
,,,,
,,,,
,,,,
0,100,70,0,2
0,70,100,0,2
,,,,
,,,,
0,85,0,1,0
0,0,85,1,0
,,,,
,,,,
,,,,
,,,,
0,25,20,-1,0
0,20,25,-1,0
0,0,25,0,0
0,25,0,0,0
0,0,65,1,0
0,65,0,1,2
,,,,
1,0,75,-1,2
3,100,48,1,0
3,48,100,1,0
0,95,70,-1,1
0,70,95,-1,1
0,0,16,0,0
0,16,0,0,0
0,0,17,0,0
0,17,0,0,0
0,0,15,0,0
0,15,0,0,0
0,0,18,0,0
0,18,0,0,0
0,0,13,0,0
0,13,0,0,0
0,0,14,0,0
0,14,0,0,0
0,0,19,0,0
0,19,0,0,0
0,0,20,0,0
0,20,0,0,0
0,0,21,0,0
0,21,0,0,0
0,0,22,0,0
0,22,0,0,0
0,0,23,0,0
0,23,0,0,0
0,0,24,0,0
0,24,0,0,0
0,0,29,0,0
0,29,0,0,0
0,0,26,0,0
0,26,0,0,0
0,0,27,0,0
0,27,0,0,0
0,0,28,0,0
0,28,0,0,0
0,0,16,1,0
0,16,0,1,0
0,0,17,1,0
0,17,0,1,0
0,0,15,1,0
0,15,0,1,0
0,0,18,1,0
0,18,0,1,0
0,0,13,1,0
0,13,0,1,0
0,0,14,1,0
0,14,0,1,0
0,0,19,1,0
0,19,0,1,0
0,0,20,1,0
0,20,0,1,0
0,0,21,1,0
0,21,0,1,0
0,0,22,1,0
0,22,0,1,0
0,0,23,1,0
0,23,0,1,0
0,0,24,1,0
0,24,0,1,0
0,0,29,1,0
0,29,0,1,0
0,0,26,1,0
0,26,0,1,0
0,0,27,1,0
0,27,0,1,0
0,0,28,1,0
0,28,0,1,0
0,0,16,-1,0
0,16,0,-1,0
0,0,17,-1,0
0,17,0,-1,0
0,0,15,-1,0
0,15,0,-1,0
0,0,18,-1,0
0,18,0,-1,0
0,0,13,-1,0
0,13,0,-1,0
0,0,14,-1,0
0,14,0,-1,0
0,0,19,-1,0
0,19,0,-1,0
0,0,20,-1,0
0,20,0,-1,0
0,0,21,-1,0
0,21,0,-1,0
0,0,22,-1,0
0,22,0,-1,0
0,0,23,-1,0
0,23,0,-1,0
0,0,24,-1,0
0,24,0,-1,0
0,0,29,-1,0
0,29,0,-1,0
0,0,26,-1,0
0,26,0,-1,0
0,0,27,-1,0
0,27,0,-1,0
0,0,28,-1,0
0,28,0,-1,0
